trade_date,strategy,action,ts_code,score
20250103,mlp_top10_full,buy,300006.SZ,0.0034452825784683228
20250103,mlp_top10_full,buy,300025.SZ,0.0031625661067664623
20250103,mlp_top10_full,buy,000586.SZ,0.0029628064949065447
20250103,mlp_top10_full,buy,002856.SZ,0.0029510692693293095
20250103,mlp_top10_full,buy,300464.SZ,0.0029251009691506624
20250103,mlp_top10_full,buy,300106.SZ,0.002922098385170102
20250103,mlp_top10_full,buy,300536.SZ,0.0029216574039310217
20250103,mlp_top10_full,buy,300278.SZ,0.00289747747592628
20250103,mlp_top10_full,buy,600725.SH,0.0028815357945859432
20250103,mlp_top10_full,buy,002193.SZ,0.002881452674046159
20250106,mlp_top10_full,sell,300025.SZ,0.0030964019242674112
20250106,mlp_top10_full,sell,000586.SZ,0.0032501481473445892
20250106,mlp_top10_full,sell,300536.SZ,0.003048224374651909
20250106,mlp_top10_full,sell,300278.SZ,0.003164874855428934
20250106,mlp_top10_full,sell,600725.SH,0.0029394503217190504
20250106,mlp_top10_full,sell,002193.SZ,0.0014267141232267022
20250106,mlp_top10_full,buy,002513.SZ,0.0035155541263520718
20250106,mlp_top10_full,buy,300591.SZ,0.003477509133517742
20250106,mlp_top10_full,buy,300405.SZ,0.003381492104381323
20250106,mlp_top10_full,buy,603030.SH,0.0033672687131911516
20250106,mlp_top10_full,buy,002691.SZ,0.0033602144103497267
20250106,mlp_top10_full,buy,300074.SZ,0.003357239533215761
20250107,mlp_top10_full,sell,002513.SZ,0.0032223514281213284
20250107,mlp_top10_full,sell,300591.SZ,0.002830369397997856
20250107,mlp_top10_full,sell,300464.SZ,0.0031301500275731087
20250107,mlp_top10_full,sell,603030.SH,0.002713573630899191
20250107,mlp_top10_full,sell,002691.SZ,0.002759999129921198
20250107,mlp_top10_full,sell,300074.SZ,0.002909304341301322
20250107,mlp_top10_full,buy,600590.SH,0.003335299901664257
20250107,mlp_top10_full,buy,300025.SZ,0.0033349290024489164
20250107,mlp_top10_full,buy,603839.SH,0.003331296145915985
20250107,mlp_top10_full,buy,300067.SZ,0.003283856902271509
20250107,mlp_top10_full,buy,300269.SZ,0.003258576150983572
20250107,mlp_top10_full,buy,300536.SZ,0.003258010372519493
20250108,mlp_top10_full,sell,002856.SZ,0.0028466328512877226
20250108,mlp_top10_full,sell,603839.SH,0.0028611128218472004
20250108,mlp_top10_full,sell,300405.SZ,0.0031172088347375393
20250108,mlp_top10_full,sell,300106.SZ,0.0028886133804917336
20250108,mlp_top10_full,sell,300269.SZ,0.0026273971889168024
20250108,mlp_top10_full,sell,300536.SZ,0.00300473440438509
20250108,mlp_top10_full,buy,601798.SH,0.0034632650204002857
20250108,mlp_top10_full,buy,002491.SZ,0.003392162499949336
20250108,mlp_top10_full,buy,603042.SH,0.0033654370345175266
20250108,mlp_top10_full,buy,002067.SZ,0.003211565548554063
20250108,mlp_top10_full,buy,002743.SZ,0.0032085212878882885
20250108,mlp_top10_full,buy,002272.SZ,0.003190192161127925
20250109,mlp_top10_full,sell,600590.SH,0.0015181591734290123
20250109,mlp_top10_full,sell,601798.SH,0.0030022317077964544
20250109,mlp_top10_full,sell,002491.SZ,0.0015424034791067243
20250109,mlp_top10_full,sell,603042.SH,0.0029643182642757893
20250109,mlp_top10_full,sell,300067.SZ,0.0026159656699746847
20250109,mlp_top10_full,sell,002067.SZ,0.002203044481575489
20250109,mlp_top10_full,sell,002743.SZ,0.0027220933698117733
20250109,mlp_top10_full,sell,300006.SZ,0.0029030395671725273
20250109,mlp_top10_full,sell,002272.SZ,0.0026483475230634212
20250109,mlp_top10_full,buy,600807.SH,0.003613937646150589
20250109,mlp_top10_full,buy,002323.SZ,0.003185506910085678
20250109,mlp_top10_full,buy,603339.SH,0.0031743512954562902
20250109,mlp_top10_full,buy,600322.SH,0.0031431359238922596
20250109,mlp_top10_full,buy,300521.SZ,0.00312979519367218
20250109,mlp_top10_full,buy,002131.SZ,0.0031044406350702047
20250109,mlp_top10_full,buy,603335.SH,0.0031000315211713314
20250109,mlp_top10_full,buy,600593.SH,0.0030944664031267166
20250109,mlp_top10_full,buy,002175.SZ,0.003048479091376066
20250110,mlp_top10_full,sell,002323.SZ,0.0017884611152112484
20250110,mlp_top10_full,sell,603339.SH,-0.000792614882811904
20250110,mlp_top10_full,sell,600322.SH,0.002775901462882757
20250110,mlp_top10_full,sell,300521.SZ,0.002862605731934309
20250110,mlp_top10_full,sell,002131.SZ,0.001945200259797275
20250110,mlp_top10_full,sell,600593.SH,0.002890369389206171
20250110,mlp_top10_full,sell,002175.SZ,0.0016627853037789464
20250110,mlp_top10_full,buy,002547.SZ,0.003198738442733884
20250110,mlp_top10_full,buy,603002.SH,0.003178903367370367
20250110,mlp_top10_full,buy,603336.SH,0.0030362894758582115
20250110,mlp_top10_full,buy,600481.SH,0.00303627853281796
20250110,mlp_top10_full,buy,603226.SH,0.0029540169052779675
20250110,mlp_top10_full,buy,603042.SH,0.0029182324651628733
20250110,mlp_top10_full,buy,601798.SH,0.0028944057412445545
20250113,mlp_top10_full,sell,600807.SH,0.0018399128457531333
20250113,mlp_top10_full,sell,002547.SZ,0.0005934280343353748
20250113,mlp_top10_full,sell,603002.SH,-0.0002860305830836296
20250113,mlp_top10_full,sell,603335.SH,0.0031141662038862705
20250113,mlp_top10_full,sell,603336.SH,0.0011927919695153832
20250113,mlp_top10_full,sell,600481.SH,0.0015109013766050339
20250113,mlp_top10_full,sell,603226.SH,0.0021405655425041914
20250113,mlp_top10_full,sell,603042.SH,0.003123669419437647
20250113,mlp_top10_full,sell,601798.SH,0.002108304761350155
20250113,mlp_top10_full,buy,002861.SZ,0.00329528097063303
20250113,mlp_top10_full,buy,601086.SH,0.00328362756408751
20250113,mlp_top10_full,buy,000561.SZ,0.0032656777184456587
20250113,mlp_top10_full,buy,603188.SH,0.003247474320232868
20250113,mlp_top10_full,buy,002798.SZ,0.0032345252111554146
20250113,mlp_top10_full,buy,002686.SZ,0.0032313333358615637
20250113,mlp_top10_full,buy,600246.SH,0.003228497691452503
20250113,mlp_top10_full,buy,600620.SH,0.0031795331742614508
20250113,mlp_top10_full,buy,002350.SZ,0.0031758961267769337
20250114,mlp_top10_full,sell,601086.SH,0.002968162763863802
20250114,mlp_top10_full,sell,000561.SZ,2.0095612853765488e-06
20250114,mlp_top10_full,sell,603188.SH,-0.00046510715037584305
20250114,mlp_top10_full,sell,002798.SZ,0.00294607225805521
20250114,mlp_top10_full,sell,002686.SZ,-0.0007176892831921577
20250114,mlp_top10_full,sell,600246.SH,0.0027915877290070057
20250114,mlp_top10_full,sell,600620.SH,0.0023358010221272707
20250114,mlp_top10_full,buy,603991.SH,0.0037756923120468855
20250114,mlp_top10_full,buy,000633.SZ,0.003544398583471775
20250114,mlp_top10_full,buy,600807.SH,0.0032578082755208015
