trade_date,strategy,action,ts_code,score
20250103,mlp_top10_drop2,buy,002861.SZ,0.0048052482306957245
20250103,mlp_top10_drop2,buy,600590.SH,0.004671832546591759
20250103,mlp_top10_drop2,buy,601011.SH,0.004563203081488609
20250103,mlp_top10_drop2,buy,002640.SZ,0.004542036447674036
20250103,mlp_top10_drop2,buy,300189.SZ,0.0045339008793234825
20250103,mlp_top10_drop2,buy,300599.SZ,0.004407469183206558
20250103,mlp_top10_drop2,buy,002390.SZ,0.004395742900669575
20250103,mlp_top10_drop2,buy,002491.SZ,0.004374123178422451
20250103,mlp_top10_drop2,buy,300417.SZ,0.0043623256497085094
20250103,mlp_top10_drop2,buy,002272.SZ,0.004351339302957058
20250106,mlp_top10_drop2,sell,601011.SH,0.0016201073303818703
20250106,mlp_top10_drop2,sell,002390.SZ,0.0029712123796343803
20250106,mlp_top10_drop2,buy,002769.SZ,0.005058793351054192
20250106,mlp_top10_drop2,buy,002629.SZ,0.00490152882412076
20250107,mlp_top10_drop2,sell,002769.SZ,0.0030929874628782272
20250107,mlp_top10_drop2,sell,300417.SZ,0.003399508772417903
20250107,mlp_top10_drop2,buy,000981.SZ,0.005005734506994486
20250107,mlp_top10_drop2,buy,600186.SH,0.00482677947729826
20250108,mlp_top10_drop2,sell,000981.SZ,0.0017751047853380442
20250108,mlp_top10_drop2,sell,300189.SZ,0.0029697315767407417
20250108,mlp_top10_drop2,buy,600865.SH,0.00569230318069458
20250108,mlp_top10_drop2,buy,603335.SH,0.005562834441661835
20250109,mlp_top10_drop2,sell,002861.SZ,0.0033916886895895004
20250109,mlp_top10_drop2,sell,300599.SZ,0.0035153955686837435
20250109,mlp_top10_drop2,buy,600530.SH,0.0048978291451931
20250109,mlp_top10_drop2,buy,600793.SH,0.004784529097378254
20250110,mlp_top10_drop2,sell,002640.SZ,0.0019578938372433186
20250110,mlp_top10_drop2,sell,600590.SH,0.0027809045277535915
20250110,mlp_top10_drop2,buy,603001.SH,0.005110663361847401
20250110,mlp_top10_drop2,buy,603007.SH,0.004823681432753801
20250113,mlp_top10_drop2,sell,603007.SH,
20250113,mlp_top10_drop2,sell,600530.SH,0.0026660007424652576
20250113,mlp_top10_drop2,buy,600807.SH,0.00551270879805088
20250113,mlp_top10_drop2,buy,300141.SZ,0.004858018830418587
20250114,mlp_top10_drop2,sell,603335.SH,0.0029290958773344755
20250114,mlp_top10_drop2,sell,002629.SZ,0.0031715224031358957
20250114,mlp_top10_drop2,buy,002660.SZ,0.004859693348407745
20250114,mlp_top10_drop2,buy,300128.SZ,0.004523549694567919
20250115,mlp_top10_drop2,sell,002660.SZ,0.0011947574093937874
20250115,mlp_top10_drop2,sell,300128.SZ,0.0021346593275666237
20250115,mlp_top10_drop2,buy,002449.SZ,0.004693866241723299
20250115,mlp_top10_drop2,buy,002494.SZ,0.004590739496052265
20250116,mlp_top10_drop2,sell,002494.SZ,0.002761503215879202
20250116,mlp_top10_drop2,sell,002272.SZ,0.0030598705634474754
20250116,mlp_top10_drop2,buy,300583.SZ,0.004374958109110594
20250116,mlp_top10_drop2,buy,002571.SZ,0.004353603348135948
20250117,mlp_top10_drop2,sell,300583.SZ,0.00264632236212492
20250117,mlp_top10_drop2,sell,600793.SH,0.003266299143433571
20250117,mlp_top10_drop2,buy,600589.SH,0.004515844862908125
20250117,mlp_top10_drop2,buy,600322.SH,0.004235482774674892
20250120,mlp_top10_drop2,sell,600589.SH,0.002394348382949829
20250120,mlp_top10_drop2,sell,603001.SH,0.0032173909712582827
20250120,mlp_top10_drop2,buy,600824.SH,0.004782414063811302
20250120,mlp_top10_drop2,buy,002269.SZ,0.004565665498375893
20250121,mlp_top10_drop2,sell,600186.SH,0.0017557446844875813
20250121,mlp_top10_drop2,sell,600865.SH,0.002794798696413636
20250121,mlp_top10_drop2,buy,600567.SH,0.004581894725561142
20250121,mlp_top10_drop2,buy,603386.SH,0.004492208827286959
20250122,mlp_top10_drop2,sell,603386.SH,0.0007472836878150702
20250122,mlp_top10_drop2,sell,600567.SH,0.0010085015092045069
20250122,mlp_top10_drop2,buy,002291.SZ,0.004861250054091215
20250122,mlp_top10_drop2,buy,603808.SH,0.004619342274963856
20250123,mlp_top10_drop2,sell,002491.SZ,0.00233482476323843
20250123,mlp_top10_drop2,sell,002269.SZ,0.0030096229165792465
20250123,mlp_top10_drop2,buy,600539.SH,0.0053686476312577724
20250123,mlp_top10_drop2,buy,603177.SH,0.005318366456776857
20250124,mlp_top10_drop2,sell,600322.SH,0.002642958890646696
20250124,mlp_top10_drop2,sell,300141.SZ,0.003026095684617758
20250124,mlp_top10_drop2,buy,002625.SZ,0.004962006118148565
20250124,mlp_top10_drop2,buy,300377.SZ,0.004558542277663946
20250127,mlp_top10_drop2,sell,002625.SZ,0.001693635480478406
20250127,mlp_top10_drop2,sell,600824.SH,0.0025905382353812456
