trade_date,strategy,action,ts_code,score
20250103,mlp_top10_full,buy,002861.SZ,0.0048052482306957245
20250103,mlp_top10_full,buy,600590.SH,0.004671832546591759
20250103,mlp_top10_full,buy,601011.SH,0.004563203081488609
20250103,mlp_top10_full,buy,002640.SZ,0.004542036447674036
20250103,mlp_top10_full,buy,300189.SZ,0.0045339008793234825
20250103,mlp_top10_full,buy,300599.SZ,0.004407469183206558
20250103,mlp_top10_full,buy,002390.SZ,0.004395742900669575
20250103,mlp_top10_full,buy,002491.SZ,0.004374123178422451
20250103,mlp_top10_full,buy,300417.SZ,0.0043623256497085094
20250103,mlp_top10_full,buy,002272.SZ,0.004351339302957058
20250106,mlp_top10_full,sell,002861.SZ,0.004174436442553997
20250106,mlp_top10_full,sell,600590.SH,0.004399401135742664
20250106,mlp_top10_full,sell,601011.SH,0.0016201073303818703
20250106,mlp_top10_full,sell,002640.SZ,0.003955477848649025
20250106,mlp_top10_full,sell,300599.SZ,0.00403696671128273
20250106,mlp_top10_full,sell,002390.SZ,0.0029712123796343803
20250106,mlp_top10_full,sell,002491.SZ,0.004432071931660175
20250106,mlp_top10_full,sell,300417.SZ,0.002995849121361971
20250106,mlp_top10_full,sell,002272.SZ,0.004032327327877283
20250106,mlp_top10_full,buy,002769.SZ,0.005058793351054192
20250106,mlp_top10_full,buy,002629.SZ,0.00490152882412076
20250106,mlp_top10_full,buy,002369.SZ,0.004811506252735853
20250106,mlp_top10_full,buy,300067.SZ,0.004802943207323551
20250106,mlp_top10_full,buy,300333.SZ,0.004758132621645927
20250106,mlp_top10_full,buy,002067.SZ,0.004669461399316788
20250106,mlp_top10_full,buy,300141.SZ,0.004527525510638952
20250106,mlp_top10_full,buy,600593.SH,0.004502519033849239
20250106,mlp_top10_full,buy,002210.SZ,0.004458122421056032
20250107,mlp_top10_full,sell,002769.SZ,0.0030929874628782272
20250107,mlp_top10_full,sell,002629.SZ,0.0043000224977731705
20250107,mlp_top10_full,sell,002369.SZ,0.0034435854759067297
20250107,mlp_top10_full,sell,300333.SZ,0.004204192198812962
20250107,mlp_top10_full,sell,002067.SZ,0.00412013242021203
20250107,mlp_top10_full,sell,300141.SZ,0.003877678420394659
20250107,mlp_top10_full,sell,600593.SH,0.00358751742169261
20250107,mlp_top10_full,sell,300189.SZ,0.00401461124420166
20250107,mlp_top10_full,sell,002210.SZ,0.003803187981247902
20250107,mlp_top10_full,buy,000981.SZ,0.005005734506994486
20250107,mlp_top10_full,buy,600186.SH,0.00482677947729826
20250107,mlp_top10_full,buy,002313.SZ,0.004808597732335329
20250107,mlp_top10_full,buy,600857.SH,0.004724511411041021
20250107,mlp_top10_full,buy,002187.SZ,0.004686737898737192
20250107,mlp_top10_full,buy,002193.SZ,0.004661793354898691
20250107,mlp_top10_full,buy,601010.SH,0.004607211798429489
20250107,mlp_top10_full,buy,000679.SZ,0.0045555755496025085
20250107,mlp_top10_full,buy,601616.SH,0.004525651223957539
20250108,mlp_top10_full,sell,000981.SZ,0.0017751047853380442
20250108,mlp_top10_full,sell,600186.SH,0.004162951838225126
20250108,mlp_top10_full,sell,002313.SZ,0.0025384854525327682
20250108,mlp_top10_full,sell,002187.SZ,0.0022783991880714893
20250108,mlp_top10_full,sell,002193.SZ,0.002798983594402671
20250108,mlp_top10_full,sell,601010.SH,0.0036723942030221224
20250108,mlp_top10_full,sell,300067.SZ,0.003913605585694313
20250108,mlp_top10_full,sell,601616.SH,0.0021259738132357597
20250108,mlp_top10_full,buy,600865.SH,0.00569230318069458
20250108,mlp_top10_full,buy,603335.SH,0.005562834441661835
20250108,mlp_top10_full,buy,601086.SH,0.005182899534702301
20250108,mlp_top10_full,buy,002495.SZ,0.005078118294477463
20250108,mlp_top10_full,buy,300333.SZ,0.004577039275318384
20250108,mlp_top10_full,buy,002881.SZ,0.0044930437579751015
20250108,mlp_top10_full,buy,600778.SH,0.004392564296722412
20250108,mlp_top10_full,buy,600322.SH,0.004323091823607683
20250109,mlp_top10_full,sell,600865.SH,0.0038689880166202784
20250109,mlp_top10_full,sell,603335.SH,0.00356662692502141
20250109,mlp_top10_full,sell,600857.SH,0.0037234846968203783
20250109,mlp_top10_full,sell,601086.SH,0.003344867378473282
20250109,mlp_top10_full,sell,002495.SZ,0.0037227843422442675
20250109,mlp_top10_full,sell,000679.SZ,0.003906609024852514
20250109,mlp_top10_full,sell,300333.SZ,0.004001763183623552
20250109,mlp_top10_full,sell,002881.SZ,0.002422960940748453
20250109,mlp_top10_full,sell,600778.SH,0.0034409190993756056
20250109,mlp_top10_full,buy,600530.SH,0.0048978291451931
20250109,mlp_top10_full,buy,600793.SH,0.004784529097378254
20250109,mlp_top10_full,buy,600590.SH,0.004634276032447815
20250109,mlp_top10_full,buy,603330.SH,0.00448743999004364
20250109,mlp_top10_full,buy,603633.SH,0.004334200639277697
20250109,mlp_top10_full,buy,603229.SH,0.004304909147322178
