trade_date,strategy,action,ts_code,score
20250116,dlinear_seq10_oo_buffer_risk,buy,600056.SH,0.003412037156522274
20250116,dlinear_seq10_oo_buffer_risk,buy,600619.SH,0.002435424830764532
20250116,dlinear_seq10_oo_buffer_risk,buy,002736.SZ,0.00233724107965827
20250116,dlinear_seq10_oo_buffer_risk,buy,002603.SZ,0.0021921293810009956
20250116,dlinear_seq10_oo_buffer_risk,buy,601179.SH,0.0016591002931818366
20250116,dlinear_seq10_oo_buffer_risk,buy,000768.SZ,0.0016187551664188504
20250116,dlinear_seq10_oo_buffer_risk,buy,600718.SH,0.0015695388428866863
20250116,dlinear_seq10_oo_buffer_risk,buy,000998.SZ,0.0015002831351011992
20250116,dlinear_seq10_oo_buffer_risk,buy,002317.SZ,0.0014746175147593021
20250116,dlinear_seq10_oo_buffer_risk,buy,000776.SZ,0.0014570390339940786
20250117,dlinear_seq10_oo_buffer_risk,sell,000998.SZ,0.00023086596047505736
20250117,dlinear_seq10_oo_buffer_risk,sell,000768.SZ,0.0006998482858762145
20250117,dlinear_seq10_oo_buffer_risk,sell,002317.SZ,0.0008603397291153669
20250117,dlinear_seq10_oo_buffer_risk,buy,603228.SH,0.004712536931037903
20250117,dlinear_seq10_oo_buffer_risk,buy,603612.SH,0.003088621888309717
20250117,dlinear_seq10_oo_buffer_risk,buy,300068.SZ,0.0019154646433889866
20250120,dlinear_seq10_oo_buffer_risk,sell,600619.SH,0.00017288222443312407
20250120,dlinear_seq10_oo_buffer_risk,sell,600718.SH,0.0003111520782113075
20250120,dlinear_seq10_oo_buffer_risk,sell,300068.SZ,0.0008707946981303394
20250120,dlinear_seq10_oo_buffer_risk,buy,002349.SZ,0.0040122587233781815
20250120,dlinear_seq10_oo_buffer_risk,buy,000756.SZ,0.002989098895341158
20250120,dlinear_seq10_oo_buffer_risk,buy,002317.SZ,0.0029556662775576115
20250121,dlinear_seq10_oo_buffer_risk,sell,002736.SZ,0.00024172017583623528
20250121,dlinear_seq10_oo_buffer_risk,sell,000776.SZ,0.0009711193852126598
20250121,dlinear_seq10_oo_buffer_risk,buy,600961.SH,0.005388256162405014
20250121,dlinear_seq10_oo_buffer_risk,buy,002533.SZ,0.0038322294130921364
20250123,dlinear_seq10_oo_buffer_risk,sell,000756.SZ,-0.00010173139162361622
20250123,dlinear_seq10_oo_buffer_risk,sell,603228.SH,0.0008693733252584934
20250123,dlinear_seq10_oo_buffer_risk,sell,601179.SH,0.0009542831685394049
20250123,dlinear_seq10_oo_buffer_risk,buy,002035.SZ,0.005317479372024536
20250123,dlinear_seq10_oo_buffer_risk,buy,000050.SZ,0.00486247893422842
20250123,dlinear_seq10_oo_buffer_risk,buy,600773.SH,0.0038615590892732143
20250124,dlinear_seq10_oo_buffer_risk,sell,600056.SH,-0.00015315401833504438
20250124,dlinear_seq10_oo_buffer_risk,sell,002533.SZ,0.0007187516312114894
20250124,dlinear_seq10_oo_buffer_risk,sell,603612.SH,0.0008595127146691084
20250124,dlinear_seq10_oo_buffer_risk,buy,300035.SZ,0.005241880193352699
20250124,dlinear_seq10_oo_buffer_risk,buy,000521.SZ,0.0026657902635633945
20250124,dlinear_seq10_oo_buffer_risk,buy,000657.SZ,0.002462544944137335
20250127,dlinear_seq10_oo_buffer_risk,sell,000657.SZ,-0.001706202863715589
20250127,dlinear_seq10_oo_buffer_risk,sell,000050.SZ,-0.0010290489299222827
20250127,dlinear_seq10_oo_buffer_risk,sell,600961.SH,-0.00013059063348919153
20250127,dlinear_seq10_oo_buffer_risk,buy,000707.SZ,0.001323843258433044
20250127,dlinear_seq10_oo_buffer_risk,buy,002250.SZ,0.0011462711263448
20250127,dlinear_seq10_oo_buffer_risk,buy,002353.SZ,0.0010869711404666305
20250205,dlinear_seq10_oo_buffer_risk,sell,600773.SH,-0.00037642207462340593
20250205,dlinear_seq10_oo_buffer_risk,sell,000521.SZ,-0.0003451349912211299
20250205,dlinear_seq10_oo_buffer_risk,sell,300035.SZ,-0.00026738387532532215
20250205,dlinear_seq10_oo_buffer_risk,buy,601001.SH,0.0014815987087786198
20250205,dlinear_seq10_oo_buffer_risk,buy,000933.SZ,0.001085996045731008
20250205,dlinear_seq10_oo_buffer_risk,buy,600769.SH,0.001054766122251749
20250206,dlinear_seq10_oo_buffer_risk,sell,601001.SH,-0.0007536032935604453
20250206,dlinear_seq10_oo_buffer_risk,sell,002250.SZ,-0.0004903136286884546
20250206,dlinear_seq10_oo_buffer_risk,sell,002603.SZ,-0.00030288018751889467
20250206,dlinear_seq10_oo_buffer_risk,buy,300596.SZ,0.0030790925957262516
20250206,dlinear_seq10_oo_buffer_risk,buy,600295.SH,0.002144268248230219
20250206,dlinear_seq10_oo_buffer_risk,buy,002846.SZ,0.0021153483539819717
20250207,dlinear_seq10_oo_buffer_risk,sell,000933.SZ,-0.0009214909514412284
20250207,dlinear_seq10_oo_buffer_risk,sell,300596.SZ,-0.0007639211835339665
20250207,dlinear_seq10_oo_buffer_risk,sell,002349.SZ,-0.00015407579485327005
20250207,dlinear_seq10_oo_buffer_risk,buy,603179.SH,0.0011777868494391441
20250207,dlinear_seq10_oo_buffer_risk,buy,603033.SH,0.0011744434013962746
20250207,dlinear_seq10_oo_buffer_risk,buy,002637.SZ,0.0011295030126348138
20250210,dlinear_seq10_oo_buffer_risk,sell,002846.SZ,7.621827535331249e-05
20250210,dlinear_seq10_oo_buffer_risk,sell,002317.SZ,0.0005048338207416236
20250210,dlinear_seq10_oo_buffer_risk,sell,002353.SZ,0.0006835252279415727
20250210,dlinear_seq10_oo_buffer_risk,buy,002056.SZ,0.0014482359401881695
20250210,dlinear_seq10_oo_buffer_risk,buy,603991.SH,0.001189847127534449
20250210,dlinear_seq10_oo_buffer_risk,buy,603356.SH,0.0011409817961975932
20250211,dlinear_seq10_oo_buffer_risk,sell,600295.SH,-0.0010106408735737205
20250211,dlinear_seq10_oo_buffer_risk,sell,000707.SZ,-0.00015777104999870062
20250211,dlinear_seq10_oo_buffer_risk,sell,002637.SZ,0.0007608563755638897
20250211,dlinear_seq10_oo_buffer_risk,buy,600153.SH,0.0022096065804362297
20250211,dlinear_seq10_oo_buffer_risk,buy,000408.SZ,0.001229947665706277
20250211,dlinear_seq10_oo_buffer_risk,buy,600316.SH,0.0011662449687719345
20250212,dlinear_seq10_oo_buffer_risk,sell,002035.SZ,0.0008819603826850653
20250212,dlinear_seq10_oo_buffer_risk,sell,603033.SH,0.0010458604665473104
20250212,dlinear_seq10_oo_buffer_risk,buy,002463.SZ,0.00315999798476696
20250212,dlinear_seq10_oo_buffer_risk,buy,002282.SZ,0.0031018415465950966
20250213,dlinear_seq10_oo_buffer_risk,sell,002282.SZ,-0.004771925508975983
20250213,dlinear_seq10_oo_buffer_risk,sell,000408.SZ,0.0005144483293406665
20250213,dlinear_seq10_oo_buffer_risk,sell,600153.SH,0.001015994232147932
20250213,dlinear_seq10_oo_buffer_risk,buy,002531.SZ,0.0024267160333693027
20250213,dlinear_seq10_oo_buffer_risk,buy,002475.SZ,0.0021060460712760687
20250213,dlinear_seq10_oo_buffer_risk,buy,601138.SH,0.0017326013185083866
20250214,dlinear_seq10_oo_buffer_risk,sell,002056.SZ,-0.0002927726600319147
20250214,dlinear_seq10_oo_buffer_risk,sell,600769.SH,0.0009840650018304586
20250214,dlinear_seq10_oo_buffer_risk,buy,300655.SZ,0.0030212118290364742
20250214,dlinear_seq10_oo_buffer_risk,buy,002897.SZ,0.0015454377280548215
20250217,dlinear_seq10_oo_buffer_risk,sell,002463.SZ,-0.00021892029326409101
20250217,dlinear_seq10_oo_buffer_risk,sell,002475.SZ,0.0006553131388500333
20250217,dlinear_seq10_oo_buffer_risk,sell,002531.SZ,0.0009509973460808396
20250217,dlinear_seq10_oo_buffer_risk,buy,002747.SZ,0.001789234229363501
20250217,dlinear_seq10_oo_buffer_risk,buy,300709.SZ,0.0012253186432644725
20250217,dlinear_seq10_oo_buffer_risk,buy,300124.SZ,0.0012093402910977602
20250218,dlinear_seq10_oo_buffer_risk,sell,300655.SZ,-0.0022015823051333427
20250218,dlinear_seq10_oo_buffer_risk,sell,603179.SH,0.0007367594516836107
20250218,dlinear_seq10_oo_buffer_risk,sell,300124.SZ,0.0008859027875587344
20250218,dlinear_seq10_oo_buffer_risk,buy,600650.SH,0.005224922671914101
20250218,dlinear_seq10_oo_buffer_risk,buy,000988.SZ,0.002183911856263876
20250218,dlinear_seq10_oo_buffer_risk,buy,000528.SZ,0.0020516649819910526
20250219,dlinear_seq10_oo_buffer_risk,sell,002747.SZ,-0.0005497054662555456
20250219,dlinear_seq10_oo_buffer_risk,sell,002897.SZ,9.451061487197876e-06
20250219,dlinear_seq10_oo_buffer_risk,sell,603356.SH,0.0008934958605095744
20250219,dlinear_seq10_oo_buffer_risk,buy,600977.SH,0.0036502359434962273
20250219,dlinear_seq10_oo_buffer_risk,buy,002128.SZ,0.002550896955654025
20250219,dlinear_seq10_oo_buffer_risk,buy,000680.SZ,0.0018790734466165304
20250220,dlinear_seq10_oo_buffer_risk,sell,601138.SH,-0.0004016064340248704
20250220,dlinear_seq10_oo_buffer_risk,sell,002128.SZ,0.0003454168327152729
20250220,dlinear_seq10_oo_buffer_risk,sell,000680.SZ,0.00038330693496391177
20250220,dlinear_seq10_oo_buffer_risk,buy,603990.SH,0.006570696365088224
20250220,dlinear_seq10_oo_buffer_risk,buy,002090.SZ,0.004023682791739702
20250220,dlinear_seq10_oo_buffer_risk,buy,002313.SZ,0.0032868767157197
20250221,dlinear_seq10_oo_buffer_risk,sell,603990.SH,-0.000934773008339107
20250221,dlinear_seq10_oo_buffer_risk,sell,002313.SZ,0.0003309594467282295
20250221,dlinear_seq10_oo_buffer_risk,sell,600316.SH,0.0006682198727503419
20250221,dlinear_seq10_oo_buffer_risk,buy,603015.SH,0.004831585567444563
20250221,dlinear_seq10_oo_buffer_risk,buy,002006.SZ,0.0035155373625457287
20250221,dlinear_seq10_oo_buffer_risk,buy,300024.SZ,0.0033820820972323418
20250224,dlinear_seq10_oo_buffer_risk,sell,600977.SH,-0.0006034419639036059
20250224,dlinear_seq10_oo_buffer_risk,sell,002006.SZ,0.00044534204062074423
20250224,dlinear_seq10_oo_buffer_risk,buy,300399.SZ,0.003146931529045105
20250224,dlinear_seq10_oo_buffer_risk,buy,603002.SH,0.0029141544364392757
20250225,dlinear_seq10_oo_buffer_risk,sell,300024.SZ,-0.002698741387575865
20250225,dlinear_seq10_oo_buffer_risk,sell,600650.SH,-0.0016569638391956687
20250225,dlinear_seq10_oo_buffer_risk,sell,300399.SZ,-0.001636926201172173
20250225,dlinear_seq10_oo_buffer_risk,buy,601595.SH,0.0011903666891157627
20250225,dlinear_seq10_oo_buffer_risk,buy,603383.SH,0.0011676360154524446
20250225,dlinear_seq10_oo_buffer_risk,buy,300739.SZ,0.0011671856045722961
20250226,dlinear_seq10_oo_buffer_risk,sell,300739.SZ,-0.0007163553964346647
20250226,dlinear_seq10_oo_buffer_risk,sell,603002.SH,-0.00033235654700547457
