trade_date,strategy,action,ts_code,score
20250116,dlinear_seq10_oo_top10_drop2,buy,600056.SH,0.003412037156522274
20250116,dlinear_seq10_oo_top10_drop2,buy,603228.SH,0.003188987262547016
20250116,dlinear_seq10_oo_top10_drop2,buy,600619.SH,0.002435424830764532
20250116,dlinear_seq10_oo_top10_drop2,buy,002736.SZ,0.00233724107965827
20250116,dlinear_seq10_oo_top10_drop2,buy,600903.SH,0.002280370332300663
20250116,dlinear_seq10_oo_top10_drop2,buy,002603.SZ,0.0021921293810009956
20250116,dlinear_seq10_oo_top10_drop2,buy,300332.SZ,0.002021945547312498
20250116,dlinear_seq10_oo_top10_drop2,buy,600584.SH,0.0017587443580850959
20250116,dlinear_seq10_oo_top10_drop2,buy,601179.SH,0.0016591002931818366
20250116,dlinear_seq10_oo_top10_drop2,buy,000768.SZ,0.0016187551664188504
20250117,dlinear_seq10_oo_top10_drop2,sell,000768.SZ,0.0006998482858762145
20250117,dlinear_seq10_oo_top10_drop2,sell,300332.SZ,0.0009342320263385773
20250117,dlinear_seq10_oo_top10_drop2,buy,603612.SH,0.003088621888309717
20250117,dlinear_seq10_oo_top10_drop2,buy,300473.SZ,0.0030842809937894344
20250120,dlinear_seq10_oo_top10_drop2,sell,600619.SH,0.00017288222443312407
20250120,dlinear_seq10_oo_top10_drop2,sell,600584.SH,0.0004951072041876614
20250120,dlinear_seq10_oo_top10_drop2,buy,002349.SZ,0.0040122587233781815
20250120,dlinear_seq10_oo_top10_drop2,buy,000756.SZ,0.002989098895341158
20250121,dlinear_seq10_oo_top10_drop2,sell,600903.SH,1.6625854186713696e-05
20250121,dlinear_seq10_oo_top10_drop2,sell,002736.SZ,0.00024172017583623528
20250121,dlinear_seq10_oo_top10_drop2,buy,600267.SH,0.0064302170649170876
20250121,dlinear_seq10_oo_top10_drop2,buy,600961.SH,0.005388256162405014
20250122,dlinear_seq10_oo_top10_drop2,sell,601179.SH,0.0012507347855716944
20250122,dlinear_seq10_oo_top10_drop2,sell,000756.SZ,0.0014603139134123921
20250122,dlinear_seq10_oo_top10_drop2,buy,000050.SZ,0.005751940421760082
20250122,dlinear_seq10_oo_top10_drop2,buy,002221.SZ,0.005732853896915913
20250123,dlinear_seq10_oo_top10_drop2,sell,603228.SH,0.0008693733252584934
20250123,dlinear_seq10_oo_top10_drop2,sell,002221.SZ,0.0010573967592790723
20250123,dlinear_seq10_oo_top10_drop2,buy,002615.SZ,0.00579233281314373
20250123,dlinear_seq10_oo_top10_drop2,buy,000404.SZ,0.005396690685302019
20250124,dlinear_seq10_oo_top10_drop2,sell,000404.SZ,-0.0003338578389957547
20250124,dlinear_seq10_oo_top10_drop2,sell,600056.SH,-0.00015315401833504438
20250124,dlinear_seq10_oo_top10_drop2,buy,300035.SZ,0.005241880193352699
20250124,dlinear_seq10_oo_top10_drop2,buy,002035.SZ,0.003769658040255308
20250127,dlinear_seq10_oo_top10_drop2,sell,000050.SZ,-0.0010290489299222827
20250127,dlinear_seq10_oo_top10_drop2,sell,603612.SH,-0.0008220019517466426
20250127,dlinear_seq10_oo_top10_drop2,buy,300433.SZ,0.0021729208528995514
20250127,dlinear_seq10_oo_top10_drop2,buy,000707.SZ,0.001323843258433044
20250205,dlinear_seq10_oo_top10_drop2,sell,002615.SZ,-0.00039996334817260504
20250205,dlinear_seq10_oo_top10_drop2,sell,300035.SZ,-0.00026738387532532215
20250205,dlinear_seq10_oo_top10_drop2,buy,601001.SH,0.0014815987087786198
20250205,dlinear_seq10_oo_top10_drop2,buy,000933.SZ,0.001085996045731008
20250206,dlinear_seq10_oo_top10_drop2,sell,601001.SH,-0.0007536032935604453
20250206,dlinear_seq10_oo_top10_drop2,sell,002603.SZ,-0.00030288018751889467
20250206,dlinear_seq10_oo_top10_drop2,buy,002463.SZ,0.0030945236794650555
20250206,dlinear_seq10_oo_top10_drop2,buy,300596.SZ,0.0030790925957262516
20250207,dlinear_seq10_oo_top10_drop2,sell,000933.SZ,-0.0009214909514412284
20250207,dlinear_seq10_oo_top10_drop2,sell,300596.SZ,-0.0007639211835339665
20250207,dlinear_seq10_oo_top10_drop2,buy,600446.SH,0.0013971845619380474
20250207,dlinear_seq10_oo_top10_drop2,buy,600295.SH,0.001337750698439777
20250210,dlinear_seq10_oo_top10_drop2,sell,600446.SH,-0.00021868431940674782
20250210,dlinear_seq10_oo_top10_drop2,sell,002349.SZ,-6.85128616169095e-05
20250210,dlinear_seq10_oo_top10_drop2,buy,002056.SZ,0.0014482359401881695
20250210,dlinear_seq10_oo_top10_drop2,buy,603033.SH,0.0012432534713298082
20250211,dlinear_seq10_oo_top10_drop2,sell,600295.SH,-0.0010106408735737205
20250211,dlinear_seq10_oo_top10_drop2,sell,300433.SZ,-0.0005705672083422542
20250211,dlinear_seq10_oo_top10_drop2,buy,600153.SH,0.0022096065804362297
20250211,dlinear_seq10_oo_top10_drop2,buy,603518.SH,0.0013750084908679128
20250212,dlinear_seq10_oo_top10_drop2,sell,000707.SZ,3.381643909960985e-05
20250212,dlinear_seq10_oo_top10_drop2,sell,300473.SZ,0.0004307968192733824
20250212,dlinear_seq10_oo_top10_drop2,buy,002282.SZ,0.0031018415465950966
20250212,dlinear_seq10_oo_top10_drop2,buy,002475.SZ,0.002214407082647085
20250213,dlinear_seq10_oo_top10_drop2,sell,002282.SZ,-0.004771925508975983
20250213,dlinear_seq10_oo_top10_drop2,sell,002035.SZ,-0.0008706756634637713
20250213,dlinear_seq10_oo_top10_drop2,buy,002531.SZ,0.0024267160333693027
20250213,dlinear_seq10_oo_top10_drop2,buy,601138.SH,0.0017326013185083866
20250214,dlinear_seq10_oo_top10_drop2,sell,600153.SH,-0.0005766859976574779
20250214,dlinear_seq10_oo_top10_drop2,sell,002056.SZ,-0.0002927726600319147
20250214,dlinear_seq10_oo_top10_drop2,buy,300655.SZ,0.0030212118290364742
20250214,dlinear_seq10_oo_top10_drop2,buy,002446.SZ,0.0016887831734493375
20250217,dlinear_seq10_oo_top10_drop2,sell,002446.SZ,-0.0012299994705244899
20250217,dlinear_seq10_oo_top10_drop2,sell,002463.SZ,-0.00021892029326409101
20250217,dlinear_seq10_oo_top10_drop2,buy,002747.SZ,0.001789234229363501
20250217,dlinear_seq10_oo_top10_drop2,buy,603015.SH,0.0016492623835802078
20250218,dlinear_seq10_oo_top10_drop2,sell,300655.SZ,-0.0022015823051333427
20250218,dlinear_seq10_oo_top10_drop2,sell,603518.SH,-3.158510662615299e-05
20250218,dlinear_seq10_oo_top10_drop2,buy,600650.SH,0.005224922671914101
20250218,dlinear_seq10_oo_top10_drop2,buy,603990.SH,0.0036376304924488068
20250219,dlinear_seq10_oo_top10_drop2,sell,002747.SZ,-0.0005497054662555456
20250219,dlinear_seq10_oo_top10_drop2,sell,002531.SZ,9.498256258666515e-05
20250219,dlinear_seq10_oo_top10_drop2,buy,600977.SH,0.0036502359434962273
20250219,dlinear_seq10_oo_top10_drop2,buy,000528.SZ,0.002937834244221449
20250220,dlinear_seq10_oo_top10_drop2,sell,601138.SH,-0.0004016064340248704
20250220,dlinear_seq10_oo_top10_drop2,sell,600961.SH,0.0006483187898993492
20250220,dlinear_seq10_oo_top10_drop2,buy,600215.SH,0.004210549406707287
20250220,dlinear_seq10_oo_top10_drop2,buy,002090.SZ,0.004023682791739702
20250221,dlinear_seq10_oo_top10_drop2,sell,603990.SH,-0.000934773008339107
20250221,dlinear_seq10_oo_top10_drop2,sell,600215.SH,-0.0002520104171708226
20250221,dlinear_seq10_oo_top10_drop2,buy,603002.SH,0.004948168061673641
20250221,dlinear_seq10_oo_top10_drop2,buy,300429.SZ,0.0045341504737734795
20250224,dlinear_seq10_oo_top10_drop2,sell,600977.SH,-0.0006034419639036059
20250224,dlinear_seq10_oo_top10_drop2,sell,002475.SZ,-2.7463771402835846e-05
20250224,dlinear_seq10_oo_top10_drop2,buy,002787.SZ,0.005711756180971861
20250224,dlinear_seq10_oo_top10_drop2,buy,000988.SZ,0.003878525458276272
20250225,dlinear_seq10_oo_top10_drop2,sell,600650.SH,-0.0016569638391956687
20250225,dlinear_seq10_oo_top10_drop2,sell,603015.SH,-0.001581324147991836
20250225,dlinear_seq10_oo_top10_drop2,buy,601595.SH,0.0011903666891157627
20250225,dlinear_seq10_oo_top10_drop2,buy,300609.SZ,0.0011867377907037735
20250226,dlinear_seq10_oo_top10_drop2,sell,002787.SZ,-0.0009685290278866887
20250226,dlinear_seq10_oo_top10_drop2,sell,603002.SH,-0.00033235654700547457
20250226,dlinear_seq10_oo_top10_drop2,buy,002636.SZ,0.002630435861647129
20250226,dlinear_seq10_oo_top10_drop2,buy,002767.SZ,0.0019566852133721113
20250227,dlinear_seq10_oo_top10_drop2,sell,000528.SZ,-3.7725549191236496e-05
20250227,dlinear_seq10_oo_top10_drop2,sell,002636.SZ,9.855779353529215e-05
20250227,dlinear_seq10_oo_top10_drop2,buy,300604.SZ,0.0017471846658736467
20250227,dlinear_seq10_oo_top10_drop2,buy,600875.SH,0.0014807250117883086
20250228,dlinear_seq10_oo_top10_drop2,sell,002090.SZ,-0.0056535969488322735
20250228,dlinear_seq10_oo_top10_drop2,sell,600875.SH,2.5202403776347637e-05
20250228,dlinear_seq10_oo_top10_drop2,buy,300598.SZ,0.0012956357095390558
20250228,dlinear_seq10_oo_top10_drop2,buy,300552.SZ,0.0012564522912725806
20250303,dlinear_seq10_oo_top10_drop2,sell,002767.SZ,7.972575258463621e-05
20250303,dlinear_seq10_oo_top10_drop2,sell,000988.SZ,0.00020850985310971737
20250303,dlinear_seq10_oo_top10_drop2,buy,603566.SH,0.002291770651936531
20250303,dlinear_seq10_oo_top10_drop2,buy,002156.SZ,0.0019932175055146217
20250304,dlinear_seq10_oo_top10_drop2,sell,603566.SH,0.000251166638918221
20250304,dlinear_seq10_oo_top10_drop2,sell,601595.SH,0.00048078870167955756
20250304,dlinear_seq10_oo_top10_drop2,buy,300151.SZ,0.003186176996678114
20250304,dlinear_seq10_oo_top10_drop2,buy,002481.SZ,0.0030549741350114346
20250305,dlinear_seq10_oo_top10_drop2,sell,600267.SH,0.0008054634090512991
20250305,dlinear_seq10_oo_top10_drop2,sell,603033.SH,0.0008195053087547421
20250305,dlinear_seq10_oo_top10_drop2,buy,300320.SZ,0.0023151938803493977
20250305,dlinear_seq10_oo_top10_drop2,buy,300046.SZ,0.0015877056866884232
20250306,dlinear_seq10_oo_top10_drop2,sell,300429.SZ,0.000775218359194696
20250306,dlinear_seq10_oo_top10_drop2,sell,002156.SZ,0.0008988877525553107
20250306,dlinear_seq10_oo_top10_drop2,buy,601126.SH,0.002674008719623089
20250306,dlinear_seq10_oo_top10_drop2,buy,002041.SZ,0.002130962908267975
