trade_date,strategy,action,ts_code,score
20250207,lstm_top10_full,buy,300287.SZ,0.009784906171262264
20250207,lstm_top10_full,buy,601869.SH,0.008681763894855976
20250207,lstm_top10_full,buy,600261.SH,0.00845133326947689
20250207,lstm_top10_full,buy,300229.SZ,0.008301572874188423
20250207,lstm_top10_full,buy,002484.SZ,0.0077208238653838634
20250207,lstm_top10_full,buy,603101.SH,0.0067911334335803986
20250207,lstm_top10_full,buy,603895.SH,0.006750463042408228
20250207,lstm_top10_full,buy,300127.SZ,0.006563632749021053
20250207,lstm_top10_full,buy,300352.SZ,0.006490081548690796
20250207,lstm_top10_full,buy,600589.SH,0.006394991651177406
20250210,lstm_top10_full,sell,601869.SH,0.003500597085803747
20250210,lstm_top10_full,sell,600261.SH,0.006167509593069553
20250210,lstm_top10_full,sell,300229.SZ,0.006501996424049139
20250210,lstm_top10_full,sell,002484.SZ,0.00648791529238224
20250210,lstm_top10_full,sell,603895.SH,0.004412852227687836
20250210,lstm_top10_full,sell,300127.SZ,0.006047846749424934
20250210,lstm_top10_full,sell,300352.SZ,0.006775727495551109
20250210,lstm_top10_full,sell,600589.SH,0.0032922346144914627
20250210,lstm_top10_full,buy,300566.SZ,0.009847861714661121
20250210,lstm_top10_full,buy,603278.SH,0.009754792787134647
20250210,lstm_top10_full,buy,601019.SH,0.008220857009291649
20250210,lstm_top10_full,buy,002905.SZ,0.007595251780003309
20250210,lstm_top10_full,buy,000868.SZ,0.007461517117917538
20250210,lstm_top10_full,buy,002664.SZ,0.007366996258497238
20250210,lstm_top10_full,buy,600576.SH,0.007068375125527382
20250210,lstm_top10_full,buy,000856.SZ,0.006869745906442404
20250211,lstm_top10_full,sell,603278.SH,0.004415441304445267
20250211,lstm_top10_full,sell,601019.SH,0.0008962912252172828
20250211,lstm_top10_full,sell,002905.SZ,0.004607630427926779
20250211,lstm_top10_full,sell,000868.SZ,0.0039546554908156395
20250211,lstm_top10_full,sell,002664.SZ,0.00397203303873539
20250211,lstm_top10_full,sell,600576.SH,0.004612330347299576
20250211,lstm_top10_full,sell,000856.SZ,0.003045466262847185
20250211,lstm_top10_full,buy,300057.SZ,0.007028654683381319
20250211,lstm_top10_full,buy,000779.SZ,0.006905877031385899
20250211,lstm_top10_full,buy,002134.SZ,0.006581317633390427
20250211,lstm_top10_full,buy,603618.SH,0.006292060483247042
20250211,lstm_top10_full,buy,002629.SZ,0.006169499363750219
20250211,lstm_top10_full,buy,002520.SZ,0.006093323230743408
20250211,lstm_top10_full,buy,002124.SZ,0.005878157913684845
20250212,lstm_top10_full,sell,000779.SZ,0.0037694978527724743
20250212,lstm_top10_full,sell,300566.SZ,0.0029035666957497597
20250212,lstm_top10_full,sell,002134.SZ,0.005215019918978214
20250212,lstm_top10_full,sell,603618.SH,0.0051992726512253284
20250212,lstm_top10_full,sell,002629.SZ,0.003277088515460491
20250212,lstm_top10_full,sell,002520.SZ,0.004234698135405779
20250212,lstm_top10_full,sell,300287.SZ,0.006099429447203875
20250212,lstm_top10_full,sell,002124.SZ,0.001620449940674007
20250212,lstm_top10_full,buy,300271.SZ,0.007915427908301353
20250212,lstm_top10_full,buy,600006.SH,0.007873761467635632
20250212,lstm_top10_full,buy,002879.SZ,0.00763970660045743
20250212,lstm_top10_full,buy,300603.SZ,0.007284086663275957
20250212,lstm_top10_full,buy,000925.SZ,0.007151415105909109
20250212,lstm_top10_full,buy,300244.SZ,0.006405150052160025
20250212,lstm_top10_full,buy,300078.SZ,0.006372374016791582
20250212,lstm_top10_full,buy,002448.SZ,0.006361452396959066
20250213,lstm_top10_full,sell,603101.SH,0.0015344995772466063
20250213,lstm_top10_full,sell,600006.SH,0.0036643631756305695
20250213,lstm_top10_full,sell,002879.SZ,0.0022900020703673363
20250213,lstm_top10_full,sell,300603.SZ,0.004487689584493637
20250213,lstm_top10_full,sell,000925.SZ,0.0017658374272286892
20250213,lstm_top10_full,sell,300057.SZ,0.0041077621281147
20250213,lstm_top10_full,sell,300244.SZ,0.004682788159698248
20250213,lstm_top10_full,sell,300078.SZ,0.004600501153618097
20250213,lstm_top10_full,sell,002448.SZ,0.003004784695804119
20250213,lstm_top10_full,buy,002052.SZ,0.009629304520785809
20250213,lstm_top10_full,buy,002835.SZ,0.008537893183529377
20250213,lstm_top10_full,buy,603300.SH,0.00793409626930952
20250213,lstm_top10_full,buy,300478.SZ,0.007887397892773151
20250213,lstm_top10_full,buy,000818.SZ,0.007672345265746117
20250213,lstm_top10_full,buy,300102.SZ,0.006471001543104649
20250213,lstm_top10_full,buy,300220.SZ,0.006222465541213751
20250213,lstm_top10_full,buy,002261.SZ,0.006160371005535126
20250213,lstm_top10_full,buy,603669.SH,0.005952094681560993
20250214,lstm_top10_full,sell,603300.SH,0.0059764813631772995
20250214,lstm_top10_full,sell,300478.SZ,0.006413932889699936
20250214,lstm_top10_full,sell,000818.SZ,0.003292047418653965
20250214,lstm_top10_full,sell,300102.SZ,0.0025042910128831863
20250214,lstm_top10_full,sell,300271.SZ,0.0056006726808846
20250214,lstm_top10_full,sell,300220.SZ,0.0056566596031188965
20250214,lstm_top10_full,sell,603669.SH,0.0057784179225564
20250214,lstm_top10_full,buy,600633.SH,0.012736152857542038
