trade_date,strategy,action,ts_code,score
20250116,lstm_buffer_risk,buy,002692.SZ,0.006690456066280603
20250116,lstm_buffer_risk,buy,600481.SH,0.006008231081068516
20250116,lstm_buffer_risk,buy,603969.SH,0.005868241190910339
20250116,lstm_buffer_risk,buy,603637.SH,0.005863758269697428
20250116,lstm_buffer_risk,buy,002348.SZ,0.005614489316940308
20250116,lstm_buffer_risk,buy,002328.SZ,0.005460528656840324
20250116,lstm_buffer_risk,buy,300120.SZ,0.005381610710173845
20250116,lstm_buffer_risk,buy,600151.SH,0.005260313395410776
20250116,lstm_buffer_risk,buy,002323.SZ,0.0050910948775708675
20250117,lstm_buffer_risk,sell,002328.SZ,0.003310922533273697
20250117,lstm_buffer_risk,sell,603637.SH,0.003402720671147108
20250117,lstm_buffer_risk,sell,300120.SZ,0.004031968303024769
20250117,lstm_buffer_risk,buy,600698.SH,0.009870143607258797
20250117,lstm_buffer_risk,buy,603315.SH,0.006396174430847168
20250117,lstm_buffer_risk,buy,000620.SZ,0.006345515139400959
20250117,lstm_buffer_risk,buy,603158.SH,0.005313284229487181
20250120,lstm_buffer_risk,sell,002692.SZ,
20250120,lstm_buffer_risk,sell,603969.SH,0.002562206471338868
20250120,lstm_buffer_risk,sell,002323.SZ,0.0027293902821838856
20250120,lstm_buffer_risk,buy,002526.SZ,0.006513706874102354
20250120,lstm_buffer_risk,buy,002547.SZ,0.0059254844672977924
20250120,lstm_buffer_risk,buy,002042.SZ,0.005581059027463198
20250121,lstm_buffer_risk,sell,600698.SH,0.0020373223815113306
20250121,lstm_buffer_risk,sell,603158.SH,0.002512090839445591
20250121,lstm_buffer_risk,sell,603315.SH,0.0030132667161524296
20250121,lstm_buffer_risk,buy,600610.SH,0.0068449461832642555
20250121,lstm_buffer_risk,buy,600984.SH,0.006536923814564943
20250121,lstm_buffer_risk,buy,002337.SZ,0.0064061228185892105
20250122,lstm_buffer_risk,sell,600151.SH,0.0018219633493572474
20250122,lstm_buffer_risk,sell,002547.SZ,0.0024024364538490772
20250122,lstm_buffer_risk,sell,002526.SZ,0.0025687096640467644
20250122,lstm_buffer_risk,buy,002161.SZ,0.008541746996343136
20250122,lstm_buffer_risk,buy,000068.SZ,0.00808644574135542
20250122,lstm_buffer_risk,buy,000859.SZ,0.007362746633589268
20250123,lstm_buffer_risk,sell,600984.SH,0.001987286377698183
20250123,lstm_buffer_risk,sell,002348.SZ,0.0023719491437077522
20250123,lstm_buffer_risk,sell,600481.SH,0.002889360999688506
20250123,lstm_buffer_risk,buy,600963.SH,0.007769000716507435
20250123,lstm_buffer_risk,buy,002795.SZ,0.007567071355879307
20250123,lstm_buffer_risk,buy,002196.SZ,0.007225231733173132
20250124,lstm_buffer_risk,sell,000859.SZ,0.001206481596454978
20250124,lstm_buffer_risk,sell,002337.SZ,0.0015080715529620647
20250124,lstm_buffer_risk,sell,002042.SZ,0.001541619305498898
20250124,lstm_buffer_risk,buy,300241.SZ,0.006424996070563793
20250124,lstm_buffer_risk,buy,300013.SZ,0.0055367727763950825
20250124,lstm_buffer_risk,buy,600302.SH,0.005243632476776838
20250127,lstm_buffer_risk,sell,000068.SZ,0.0011163023300468922
20250127,lstm_buffer_risk,sell,002161.SZ,0.001359401037916541
20250127,lstm_buffer_risk,sell,002196.SZ,0.0014942837879061699
20250127,lstm_buffer_risk,buy,002453.SZ,0.007812195457518101
20250127,lstm_buffer_risk,buy,603278.SH,0.005698532797396183
20250127,lstm_buffer_risk,buy,002666.SZ,0.005687079392373562
20250205,lstm_buffer_risk,sell,600963.SH,0.0012701773084700108
20250205,lstm_buffer_risk,sell,300241.SZ,0.0015406787861138582
20250205,lstm_buffer_risk,sell,000620.SZ,0.0029059764929115772
20250205,lstm_buffer_risk,buy,300084.SZ,0.005782173480838537
20250205,lstm_buffer_risk,buy,600734.SH,0.005212641321122646
20250205,lstm_buffer_risk,buy,000761.SZ,0.005198818165808916
20250206,lstm_buffer_risk,sell,002795.SZ,0.0015270864823833108
20250206,lstm_buffer_risk,sell,300013.SZ,0.00269662169739604
20250206,lstm_buffer_risk,sell,600302.SH,0.002758563030511141
20250206,lstm_buffer_risk,buy,603716.SH,0.005572624504566193
20250206,lstm_buffer_risk,buy,002563.SZ,0.005444314330816269
20250206,lstm_buffer_risk,buy,601515.SH,0.004896192345768213
20250207,lstm_buffer_risk,sell,002666.SZ,0.0026862912345677614
20250207,lstm_buffer_risk,sell,600734.SH,0.003506153356283903
20250207,lstm_buffer_risk,sell,603716.SH,0.0036890320479869843
20250207,lstm_buffer_risk,buy,600589.SH,0.006173314526677132
20250207,lstm_buffer_risk,buy,000802.SZ,0.005414742976427078
20250207,lstm_buffer_risk,buy,603333.SH,0.0045427544973790646
20250210,lstm_buffer_risk,sell,600610.SH,0.0020764518994838
20250210,lstm_buffer_risk,sell,000761.SZ,0.002448074985295534
20250210,lstm_buffer_risk,sell,002563.SZ,0.002589272568002343
20250210,lstm_buffer_risk,buy,603007.SH,0.0058176275342702866
20250210,lstm_buffer_risk,buy,002052.SZ,0.005419024731963873
20250210,lstm_buffer_risk,buy,600576.SH,0.00526562612503767
20250211,lstm_buffer_risk,sell,002052.SZ,
20250211,lstm_buffer_risk,sell,300084.SZ,0.0010246953461319208
20250211,lstm_buffer_risk,sell,603333.SH,0.0014077250380069017
20250211,lstm_buffer_risk,buy,603227.SH,0.0050659459084272385
20250211,lstm_buffer_risk,buy,002319.SZ,0.004829352721571922
20250211,lstm_buffer_risk,buy,000626.SZ,0.004809719976037741
20250212,lstm_buffer_risk,sell,603227.SH,0.001969769597053528
20250212,lstm_buffer_risk,sell,601515.SH,0.001977490959689021
20250212,lstm_buffer_risk,sell,002453.SZ,0.0022272486239671707
20250212,lstm_buffer_risk,buy,603101.SH,0.00558825209736824
20250212,lstm_buffer_risk,buy,002775.SZ,0.004849955905228853
20250212,lstm_buffer_risk,buy,600006.SH,0.004754667170345783
20250213,lstm_buffer_risk,sell,000626.SZ,0.0009376920061185956
20250213,lstm_buffer_risk,sell,002319.SZ,0.0018195052398368716
20250213,lstm_buffer_risk,sell,603101.SH,0.001838603988289833
20250213,lstm_buffer_risk,buy,002052.SZ,0.007635087240487337
20250213,lstm_buffer_risk,buy,300478.SZ,0.006376239471137524
20250213,lstm_buffer_risk,buy,601003.SH,0.004798051901161671
20250214,lstm_buffer_risk,sell,603278.SH,0.0006018438143655658
20250214,lstm_buffer_risk,sell,002775.SZ,0.0012192856520414352
20250214,lstm_buffer_risk,sell,600576.SH,0.0014882549876347184
20250214,lstm_buffer_risk,buy,600375.SH,0.005045315250754356
20250214,lstm_buffer_risk,buy,603666.SH,0.0050363559275865555
20250214,lstm_buffer_risk,buy,002086.SZ,0.004387392662465572
20250217,lstm_buffer_risk,sell,600006.SH,0.002062923274934292
20250217,lstm_buffer_risk,sell,603007.SH,0.0022844623308628798
