trade_date,strategy,action,ts_code,score
20250116,lstm_buffer_risk,buy,603106.SH,0.01207153033465147
20250116,lstm_buffer_risk,buy,603637.SH,0.010019822977483273
20250116,lstm_buffer_risk,buy,300341.SZ,0.008986607193946838
20250116,lstm_buffer_risk,buy,300539.SZ,0.008053411729633808
20250116,lstm_buffer_risk,buy,002366.SZ,0.007966957986354828
20250116,lstm_buffer_risk,buy,300266.SZ,0.00766522902995348
20250116,lstm_buffer_risk,buy,600481.SH,0.006914522498846054
20250116,lstm_buffer_risk,buy,601777.SH,0.006901322863996029
20250116,lstm_buffer_risk,buy,002798.SZ,0.0067908307537436485
20250116,lstm_buffer_risk,buy,300534.SZ,0.006717410869896412
20250117,lstm_buffer_risk,sell,002366.SZ,0.0026279669255018234
20250117,lstm_buffer_risk,sell,300539.SZ,0.002881442429497838
20250117,lstm_buffer_risk,sell,603637.SH,0.0038794628344476223
20250117,lstm_buffer_risk,buy,002134.SZ,0.009931196458637714
20250117,lstm_buffer_risk,buy,603779.SH,0.007256932556629181
20250117,lstm_buffer_risk,buy,603005.SH,0.0070729935541749
20250120,lstm_buffer_risk,sell,300266.SZ,-2.9594171792268753e-05
20250120,lstm_buffer_risk,sell,601777.SH,0.00011917809024453163
20250120,lstm_buffer_risk,sell,300534.SZ,0.0008350133430212736
20250120,lstm_buffer_risk,buy,603808.SH,0.008840559050440788
20250120,lstm_buffer_risk,buy,300037.SZ,0.007186424918472767
20250120,lstm_buffer_risk,buy,002109.SZ,0.006256221793591976
20250121,lstm_buffer_risk,sell,603779.SH,-0.0023843832314014435
20250121,lstm_buffer_risk,sell,002798.SZ,-0.0016529210843145847
20250121,lstm_buffer_risk,sell,002134.SZ,0.0008350133430212736
20250121,lstm_buffer_risk,buy,002177.SZ,0.0059321606531739235
20250121,lstm_buffer_risk,buy,002119.SZ,0.0050254100933671
20250121,lstm_buffer_risk,buy,002931.SZ,0.004982674494385719
20250122,lstm_buffer_risk,sell,002109.SZ,0.00036087067564949393
20250122,lstm_buffer_risk,sell,600481.SH,0.0008350133430212736
20250122,lstm_buffer_risk,sell,300341.SZ,0.0008350133430212736
20250122,lstm_buffer_risk,buy,002062.SZ,0.011219678446650505
20250122,lstm_buffer_risk,buy,002599.SZ,0.009894330985844135
20250122,lstm_buffer_risk,buy,002278.SZ,0.006778360344469547
20250123,lstm_buffer_risk,sell,002931.SZ,0.0011450655292719603
20250123,lstm_buffer_risk,sell,002062.SZ,0.0012779940152540803
20250123,lstm_buffer_risk,sell,603106.SH,0.001873430097475648
20250123,lstm_buffer_risk,buy,002090.SZ,0.008669043891131878
20250123,lstm_buffer_risk,buy,600708.SH,0.008136088959872723
20250123,lstm_buffer_risk,buy,002647.SZ,0.00794568844139576
20250124,lstm_buffer_risk,sell,002119.SZ,0.0011629995424300432
20250124,lstm_buffer_risk,sell,002278.SZ,0.0022974065504968166
20250124,lstm_buffer_risk,sell,002647.SZ,0.0026678857393562794
20250124,lstm_buffer_risk,buy,600963.SH,0.013595202937722206
20250124,lstm_buffer_risk,buy,600718.SH,0.012837362475693226
20250124,lstm_buffer_risk,buy,603936.SH,0.011258077807724476
20250127,lstm_buffer_risk,sell,603005.SH,-0.0003300192765891552
20250127,lstm_buffer_risk,sell,002177.SZ,0.0011711081024259329
20250127,lstm_buffer_risk,sell,002599.SZ,0.0013993667671456933
20250127,lstm_buffer_risk,buy,000620.SZ,0.01097432617098093
20250127,lstm_buffer_risk,buy,002310.SZ,0.009953274391591549
20250127,lstm_buffer_risk,buy,603998.SH,0.008837542496621609
20250205,lstm_buffer_risk,sell,300037.SZ,0.0005330192507244647
20250205,lstm_buffer_risk,sell,002090.SZ,0.0007397265871986747
20250205,lstm_buffer_risk,sell,600708.SH,0.0014681387692689896
20250205,lstm_buffer_risk,buy,300241.SZ,0.010424980893731117
20250205,lstm_buffer_risk,buy,300232.SZ,0.009292151778936386
20250205,lstm_buffer_risk,buy,002591.SZ,0.008692906238138676
20250206,lstm_buffer_risk,sell,600963.SH,-0.007136515341699123
20250206,lstm_buffer_risk,sell,603936.SH,-0.0058219656348228455
20250206,lstm_buffer_risk,sell,600718.SH,-0.005219826474785805
20250206,lstm_buffer_risk,buy,603286.SH,0.011204744689166546
20250206,lstm_buffer_risk,buy,002671.SZ,0.010259773582220078
20250206,lstm_buffer_risk,buy,600576.SH,0.010046922601759434
20250207,lstm_buffer_risk,sell,300241.SZ,-0.004833042621612549
20250207,lstm_buffer_risk,sell,002591.SZ,-0.0020318422466516495
20250207,lstm_buffer_risk,sell,002310.SZ,-0.0015456986147910357
20250207,lstm_buffer_risk,buy,600261.SH,0.006992165930569172
20250207,lstm_buffer_risk,buy,603669.SH,0.0066246287897229195
20250207,lstm_buffer_risk,buy,000802.SZ,0.006339460611343384
20250210,lstm_buffer_risk,sell,603998.SH,-0.0006711678579449654
20250210,lstm_buffer_risk,sell,603669.SH,-0.0001157047227025032
20250210,lstm_buffer_risk,sell,603808.SH,0.00017775309970602393
20250210,lstm_buffer_risk,buy,603278.SH,0.013116703368723392
20250210,lstm_buffer_risk,buy,002377.SZ,0.011212877929210663
20250210,lstm_buffer_risk,buy,603528.SH,0.010296151041984558
20250211,lstm_buffer_risk,sell,002377.SZ,-0.0001236751559190452
20250211,lstm_buffer_risk,sell,000620.SZ,0.0005668580997735262
20250211,lstm_buffer_risk,sell,002671.SZ,0.0020917574875056744
20250211,lstm_buffer_risk,buy,603618.SH,0.010530058294534683
20250211,lstm_buffer_risk,buy,000779.SZ,0.010286891832947731
20250211,lstm_buffer_risk,buy,000520.SZ,0.008802870288491249
20250212,lstm_buffer_risk,sell,000520.SZ,0.0012816374655812979
20250212,lstm_buffer_risk,sell,603286.SH,0.0014394918689504266
20250212,lstm_buffer_risk,sell,600261.SH,0.0015595240984112024
20250212,lstm_buffer_risk,buy,000925.SZ,0.013035797514021397
20250212,lstm_buffer_risk,buy,002632.SZ,0.011862282641232014
20250212,lstm_buffer_risk,buy,002795.SZ,0.009827467612922192
20250213,lstm_buffer_risk,sell,300232.SZ,-0.0005335204768925905
20250213,lstm_buffer_risk,sell,603528.SH,-9.222293738275766e-05
20250213,lstm_buffer_risk,sell,000779.SZ,0.0001318473950959742
20250213,lstm_buffer_risk,buy,603660.SH,0.015164406038820744
20250213,lstm_buffer_risk,buy,002052.SZ,0.012731014750897884
20250213,lstm_buffer_risk,buy,002350.SZ,0.008656280115246773
