trade_date,strategy,action,ts_code,score
20250116,lstm_seq10_oo_buffer_risk,buy,300497.SZ,0.008427263237535954
20250116,lstm_seq10_oo_buffer_risk,buy,002800.SZ,0.007828336209058762
20250116,lstm_seq10_oo_buffer_risk,buy,603779.SH,0.007586967200040817
20250116,lstm_seq10_oo_buffer_risk,buy,000819.SZ,0.007566564716398716
20250116,lstm_seq10_oo_buffer_risk,buy,600716.SH,0.006898500025272369
20250116,lstm_seq10_oo_buffer_risk,buy,300746.SZ,0.006564833223819733
20250116,lstm_seq10_oo_buffer_risk,buy,002805.SZ,0.006553505547344685
20250116,lstm_seq10_oo_buffer_risk,buy,300490.SZ,0.006349909119307995
20250116,lstm_seq10_oo_buffer_risk,buy,300200.SZ,0.005689352750778198
20250116,lstm_seq10_oo_buffer_risk,buy,603222.SH,0.005509058944880962
20250117,lstm_seq10_oo_buffer_risk,sell,300490.SZ,0.0009149258839897811
20250117,lstm_seq10_oo_buffer_risk,sell,600716.SH,0.0016975440084934235
20250117,lstm_seq10_oo_buffer_risk,sell,002805.SZ,0.0017448731232434511
20250117,lstm_seq10_oo_buffer_risk,buy,603978.SH,0.008431177586317062
20250117,lstm_seq10_oo_buffer_risk,buy,300440.SZ,0.007791666314005852
20250117,lstm_seq10_oo_buffer_risk,buy,002134.SZ,0.007290845736861229
20250120,lstm_seq10_oo_buffer_risk,sell,603978.SH,-0.003715515835210681
20250120,lstm_seq10_oo_buffer_risk,sell,002800.SZ,-0.0036888287868350744
20250120,lstm_seq10_oo_buffer_risk,sell,002134.SZ,-0.0009445056784898043
20250120,lstm_seq10_oo_buffer_risk,buy,600129.SH,0.002727421233430505
20250120,lstm_seq10_oo_buffer_risk,buy,603871.SH,0.0023288701195269823
20250120,lstm_seq10_oo_buffer_risk,buy,300220.SZ,0.002214910928159952
20250121,lstm_seq10_oo_buffer_risk,sell,603779.SH,-0.0029011943843215704
20250121,lstm_seq10_oo_buffer_risk,sell,300497.SZ,-0.002710420871153474
20250121,lstm_seq10_oo_buffer_risk,sell,000819.SZ,-0.002276703482493758
20250121,lstm_seq10_oo_buffer_risk,buy,300037.SZ,0.009623710066080093
20250121,lstm_seq10_oo_buffer_risk,buy,300204.SZ,0.008046062663197517
20250121,lstm_seq10_oo_buffer_risk,buy,300700.SZ,0.005004975013434887
20250122,lstm_seq10_oo_buffer_risk,sell,300746.SZ,-0.0020777874160557985
20250122,lstm_seq10_oo_buffer_risk,sell,300220.SZ,-0.0005947656463831663
20250122,lstm_seq10_oo_buffer_risk,sell,600129.SH,0.0007104401011019945
20250122,lstm_seq10_oo_buffer_risk,buy,002062.SZ,0.01156382542103529
20250122,lstm_seq10_oo_buffer_risk,buy,600435.SH,0.007665836252272129
20250122,lstm_seq10_oo_buffer_risk,buy,603033.SH,0.007499934174120426
20250123,lstm_seq10_oo_buffer_risk,sell,300204.SZ,-0.002539472421631217
