trade_date,strategy,action,ts_code,score
20250116,lstm_seq10_oo_top10_drop2,buy,300497.SZ,0.008427263237535954
20250116,lstm_seq10_oo_top10_drop2,buy,600551.SH,0.008019637316465378
20250116,lstm_seq10_oo_top10_drop2,buy,002800.SZ,0.007828336209058762
20250116,lstm_seq10_oo_top10_drop2,buy,603779.SH,0.007586967200040817
20250116,lstm_seq10_oo_top10_drop2,buy,000819.SZ,0.007566564716398716
20250116,lstm_seq10_oo_top10_drop2,buy,600716.SH,0.006898500025272369
20250116,lstm_seq10_oo_top10_drop2,buy,002259.SZ,0.006671958602964878
20250116,lstm_seq10_oo_top10_drop2,buy,300746.SZ,0.006564833223819733
20250116,lstm_seq10_oo_top10_drop2,buy,002805.SZ,0.006553505547344685
20250116,lstm_seq10_oo_top10_drop2,buy,300490.SZ,0.006349909119307995
20250117,lstm_seq10_oo_top10_drop2,sell,300490.SZ,0.0009149258839897811
20250117,lstm_seq10_oo_top10_drop2,sell,600716.SH,0.0016975440084934235
20250117,lstm_seq10_oo_top10_drop2,buy,603978.SH,0.008431177586317062
20250117,lstm_seq10_oo_top10_drop2,buy,300440.SZ,0.007791666314005852
20250120,lstm_seq10_oo_top10_drop2,sell,603978.SH,-0.003715515835210681
20250120,lstm_seq10_oo_top10_drop2,sell,002800.SZ,-0.0036888287868350744
20250120,lstm_seq10_oo_top10_drop2,buy,600807.SH,0.007511352188885212
20250120,lstm_seq10_oo_top10_drop2,buy,300204.SZ,0.0063166543841362
20250121,lstm_seq10_oo_top10_drop2,sell,603779.SH,-0.0029011943843215704
20250121,lstm_seq10_oo_top10_drop2,sell,300497.SZ,-0.002710420871153474
20250121,lstm_seq10_oo_top10_drop2,buy,300037.SZ,0.009623710066080093
20250121,lstm_seq10_oo_top10_drop2,buy,300700.SZ,0.005004975013434887
20250122,lstm_seq10_oo_top10_drop2,sell,002259.SZ,
20250122,lstm_seq10_oo_top10_drop2,sell,300746.SZ,-0.0020777874160557985
20250122,lstm_seq10_oo_top10_drop2,buy,603007.SH,0.02438896708190441
20250122,lstm_seq10_oo_top10_drop2,buy,002062.SZ,0.01156382542103529
20250123,lstm_seq10_oo_top10_drop2,sell,300204.SZ,-0.002539472421631217
20250123,lstm_seq10_oo_top10_drop2,sell,600551.SH,-0.0019337248522788286
20250123,lstm_seq10_oo_top10_drop2,buy,002356.SZ,0.010023155249655247
20250123,lstm_seq10_oo_top10_drop2,buy,600963.SH,0.007265382446348667
20250124,lstm_seq10_oo_top10_drop2,sell,000819.SZ,0.00011296337470412254
20250124,lstm_seq10_oo_top10_drop2,sell,002805.SZ,0.00022964738309383392
20250124,lstm_seq10_oo_top10_drop2,buy,300536.SZ,0.012158429250121117
20250124,lstm_seq10_oo_top10_drop2,buy,000545.SZ,0.011287839151918888
20250127,lstm_seq10_oo_top10_drop2,sell,300700.SZ,-0.0032763562630861998
20250127,lstm_seq10_oo_top10_drop2,sell,300440.SZ,-0.0017434342298656702
20250127,lstm_seq10_oo_top10_drop2,buy,603356.SH,0.010008000768721104
