trade_date,strategy,action,ts_code,score
20250207,lstm_top10_drop2,buy,300287.SZ,0.015563542023301125
20250207,lstm_top10_drop2,buy,300229.SZ,0.012211494147777557
20250207,lstm_top10_drop2,buy,002484.SZ,0.008989887312054634
20250207,lstm_top10_drop2,buy,600261.SH,0.008674856275320053
20250207,lstm_top10_drop2,buy,600673.SH,0.007255896460264921
20250207,lstm_top10_drop2,buy,002701.SZ,0.007049718406051397
20250207,lstm_top10_drop2,buy,600589.SH,0.006925152149051428
20250207,lstm_top10_drop2,buy,603895.SH,0.0067742252722382545
20250207,lstm_top10_drop2,buy,002599.SZ,0.006541138049215078
20250207,lstm_top10_drop2,buy,601019.SH,0.0057577393017709255
20250210,lstm_top10_drop2,sell,002599.SZ,0.001019589602947235
20250210,lstm_top10_drop2,sell,603895.SH,0.0024985664058476686
20250210,lstm_top10_drop2,buy,603278.SH,0.015338870696723461
20250210,lstm_top10_drop2,buy,002905.SZ,0.011512046679854393
20250211,lstm_top10_drop2,sell,601019.SH,0.0010525594698265195
20250211,lstm_top10_drop2,sell,002701.SZ,0.0016996682388707995
20250211,lstm_top10_drop2,buy,000779.SZ,0.010524663142859936
20250211,lstm_top10_drop2,buy,002629.SZ,0.009298419579863548
20250212,lstm_top10_drop2,sell,002629.SZ,0.001471653813496232
20250212,lstm_top10_drop2,sell,600261.SH,0.0015725191915407777
20250212,lstm_top10_drop2,buy,300271.SZ,0.011929173022508621
20250212,lstm_top10_drop2,buy,000925.SZ,0.011603186838328838
20250213,lstm_top10_drop2,sell,000925.SZ,0.0006518657319247723
20250213,lstm_top10_drop2,sell,000779.SZ,0.001251865760423243
20250213,lstm_top10_drop2,buy,002835.SZ,0.014466253109276295
20250213,lstm_top10_drop2,buy,002052.SZ,0.011751722544431686
20250214,lstm_top10_drop2,sell,603278.SH,-0.000585209927521646
20250214,lstm_top10_drop2,sell,002905.SZ,0.0004921131767332554
20250214,lstm_top10_drop2,buy,600633.SH,0.01556879561394453
20250214,lstm_top10_drop2,buy,600120.SH,0.0139526491984725
20250217,lstm_top10_drop2,sell,300287.SZ,0.0008030852768570185
20250217,lstm_top10_drop2,sell,600673.SH,0.0009407481411471963
20250217,lstm_top10_drop2,buy,601789.SH,0.014971599914133549
20250217,lstm_top10_drop2,buy,600986.SH,0.011431615799665451
20250218,lstm_top10_drop2,sell,002835.SZ,0.0005345845129340887
20250218,lstm_top10_drop2,sell,600986.SH,0.0006666633998975158
20250218,lstm_top10_drop2,buy,603300.SH,0.012745785526931286
20250218,lstm_top10_drop2,buy,002632.SZ,0.01198347844183445
20250219,lstm_top10_drop2,sell,002484.SZ,0.001782961655408144
20250219,lstm_top10_drop2,sell,300271.SZ,0.001944329938851297
20250219,lstm_top10_drop2,buy,300239.SZ,0.012431462295353413
20250219,lstm_top10_drop2,buy,300133.SZ,0.012220525182783604
20250220,lstm_top10_drop2,sell,002632.SZ,0.0011480934917926788
20250220,lstm_top10_drop2,sell,600589.SH,0.0015206087846308947
20250220,lstm_top10_drop2,buy,601116.SH,0.015454117208719254
20250220,lstm_top10_drop2,buy,600126.SH,0.014032814651727676
20250221,lstm_top10_drop2,sell,002052.SZ,-9.095354471355677e-05
20250221,lstm_top10_drop2,sell,300239.SZ,0.0015255267499014735
20250221,lstm_top10_drop2,buy,603086.SH,0.016714567318558693
20250221,lstm_top10_drop2,buy,002908.SZ,0.012426025234162807
20250224,lstm_top10_drop2,sell,603300.SH,0.0012106625363230705
20250224,lstm_top10_drop2,sell,600126.SH,0.0017269436502829194
