trade_date,strategy,action,ts_code,score
20250207,lstm_top10_full,buy,300287.SZ,0.015563542023301125
20250207,lstm_top10_full,buy,300229.SZ,0.012211494147777557
20250207,lstm_top10_full,buy,002484.SZ,0.008989887312054634
20250207,lstm_top10_full,buy,600261.SH,0.008674856275320053
20250207,lstm_top10_full,buy,600673.SH,0.007255896460264921
20250207,lstm_top10_full,buy,002701.SZ,0.007049718406051397
20250207,lstm_top10_full,buy,600589.SH,0.006925152149051428
20250207,lstm_top10_full,buy,603895.SH,0.0067742252722382545
20250207,lstm_top10_full,buy,002599.SZ,0.006541138049215078
20250207,lstm_top10_full,buy,601019.SH,0.0057577393017709255
20250210,lstm_top10_full,sell,300229.SZ,0.00783658679574728
20250210,lstm_top10_full,sell,002484.SZ,0.006167065352201462
20250210,lstm_top10_full,sell,600261.SH,0.0032168286852538586
20250210,lstm_top10_full,sell,600673.SH,0.004840898793190718
20250210,lstm_top10_full,sell,002701.SZ,0.003705947659909725
20250210,lstm_top10_full,sell,600589.SH,0.0033500948920845985
20250210,lstm_top10_full,sell,603895.SH,0.0024985664058476686
20250210,lstm_top10_full,sell,002599.SZ,0.001019589602947235
20250210,lstm_top10_full,buy,603278.SH,0.015338870696723461
20250210,lstm_top10_full,buy,002905.SZ,0.011512046679854393
20250210,lstm_top10_full,buy,300352.SZ,0.009583954699337482
20250210,lstm_top10_full,buy,002815.SZ,0.009560659527778625
20250210,lstm_top10_full,buy,002664.SZ,0.00916903093457222
20250210,lstm_top10_full,buy,300566.SZ,0.008418924175202847
20250210,lstm_top10_full,buy,300488.SZ,0.008219157345592976
20250210,lstm_top10_full,buy,002377.SZ,0.008038057014346123
20250211,lstm_top10_full,sell,603278.SH,0.003076154738664627
20250211,lstm_top10_full,sell,002905.SZ,0.00400660652667284
20250211,lstm_top10_full,sell,300352.SZ,0.004578276537358761
20250211,lstm_top10_full,sell,002815.SZ,0.0021360788960009813
20250211,lstm_top10_full,sell,002664.SZ,0.002044960856437683
20250211,lstm_top10_full,sell,300566.SZ,0.0060784779489040375
20250211,lstm_top10_full,sell,300488.SZ,0.0020199399441480637
20250211,lstm_top10_full,sell,601019.SH,0.0010525594698265195
20250211,lstm_top10_full,sell,002377.SZ,-0.0007334559923037887
