trade_date,strategy,action,ts_code,score
20250103,mlp_oo_buffer_risk,buy,002329.SZ,0.0033064456656575203
20250103,mlp_oo_buffer_risk,buy,603328.SH,0.0032989303581416607
20250103,mlp_oo_buffer_risk,buy,300706.SZ,0.003274615854024887
20250103,mlp_oo_buffer_risk,buy,300033.SZ,0.0031971042044460773
20250103,mlp_oo_buffer_risk,buy,300464.SZ,0.0031597325578331947
20250103,mlp_oo_buffer_risk,buy,600855.SH,0.0031055710278451443
20250103,mlp_oo_buffer_risk,buy,300182.SZ,0.0030876032542437315
20250103,mlp_oo_buffer_risk,buy,002632.SZ,0.0030842102132737637
20250103,mlp_oo_buffer_risk,buy,002107.SZ,0.0030596740543842316
20250106,mlp_oo_buffer_risk,sell,300182.SZ,0.001969421049579978
20250106,mlp_oo_buffer_risk,sell,603328.SH,0.002660212339833379
20250106,mlp_oo_buffer_risk,sell,300033.SZ,0.0029456857591867447
20250106,mlp_oo_buffer_risk,buy,300488.SZ,0.0038884999230504036
20250106,mlp_oo_buffer_risk,buy,300106.SZ,0.003728936892002821
20250106,mlp_oo_buffer_risk,buy,300076.SZ,0.003708493895828724
20250106,mlp_oo_buffer_risk,buy,002321.SZ,0.0036729266867041588
20250107,mlp_oo_buffer_risk,sell,002107.SZ,0.002631997689604759
20250107,mlp_oo_buffer_risk,sell,002632.SZ,0.0027757100760936737
20250107,mlp_oo_buffer_risk,sell,300706.SZ,0.0028533043805509806
20250107,mlp_oo_buffer_risk,buy,300521.SZ,0.0036572529934346676
20250107,mlp_oo_buffer_risk,buy,300417.SZ,0.0034679644741117954
20250107,mlp_oo_buffer_risk,buy,000665.SZ,0.0034496423322707415
20250108,mlp_oo_buffer_risk,sell,300076.SZ,0.0017045135609805584
20250108,mlp_oo_buffer_risk,sell,300417.SZ,0.0021285987459123135
20250108,mlp_oo_buffer_risk,sell,002321.SZ,0.002396420808508992
20250108,mlp_oo_buffer_risk,buy,600828.SH,0.003254738636314869
20250108,mlp_oo_buffer_risk,buy,002075.SZ,0.00320759741589427
20250108,mlp_oo_buffer_risk,buy,002045.SZ,0.003096870146691799
20250109,mlp_oo_buffer_risk,sell,300106.SZ,0.002293667756021023
20250109,mlp_oo_buffer_risk,sell,600855.SH,0.002387826796621084
20250109,mlp_oo_buffer_risk,sell,002329.SZ,0.0024135177955031395
20250109,mlp_oo_buffer_risk,buy,300562.SZ,0.0034957611933350563
20250109,mlp_oo_buffer_risk,buy,300087.SZ,0.00334833562374115
20250109,mlp_oo_buffer_risk,buy,300025.SZ,0.0031101428903639317
20250110,mlp_oo_buffer_risk,sell,300488.SZ,0.0003843150334432721
20250110,mlp_oo_buffer_risk,sell,300087.SZ,0.0012740870006382465
20250110,mlp_oo_buffer_risk,sell,002045.SZ,0.0018599709728732705
20250110,mlp_oo_buffer_risk,buy,000620.SZ,0.0030094259418547153
20250110,mlp_oo_buffer_risk,buy,601798.SH,0.0029937135986983776
20250110,mlp_oo_buffer_risk,buy,002495.SZ,0.0029915920458734035
20250113,mlp_oo_buffer_risk,sell,002075.SZ,0.002530589234083891
20250113,mlp_oo_buffer_risk,sell,300562.SZ,0.002687899162992835
20250113,mlp_oo_buffer_risk,sell,300464.SZ,0.0028255321085453033
20250113,mlp_oo_buffer_risk,buy,603333.SH,0.003660730319097638
20250113,mlp_oo_buffer_risk,buy,603958.SH,0.003476967802271247
20250113,mlp_oo_buffer_risk,buy,002798.SZ,0.0034691449254751205
20250114,mlp_oo_buffer_risk,sell,000665.SZ,0.0022823556791990995
20250114,mlp_oo_buffer_risk,sell,601798.SH,0.0023635129909962416
20250114,mlp_oo_buffer_risk,sell,000620.SZ,0.002585544716566801
20250114,mlp_oo_buffer_risk,buy,601010.SH,0.0033789663575589657
20250114,mlp_oo_buffer_risk,buy,002350.SZ,0.003320065326988697
20250114,mlp_oo_buffer_risk,buy,600322.SH,0.0032777939923107624
20250115,mlp_oo_buffer_risk,sell,300521.SZ,0.0003159936750307679
20250115,mlp_oo_buffer_risk,sell,002350.SZ,0.0018213442526757717
20250115,mlp_oo_buffer_risk,sell,002798.SZ,0.0018469184869900346
20250115,mlp_oo_buffer_risk,buy,603335.SH,0.0031774642411619425
20250115,mlp_oo_buffer_risk,buy,002596.SZ,0.002767976839095354
20250115,mlp_oo_buffer_risk,buy,601086.SH,0.0027443482540547848
20250116,mlp_oo_buffer_risk,sell,002596.SZ,0.0017261180328205228
20250116,mlp_oo_buffer_risk,sell,603958.SH,0.001813371549360454
20250116,mlp_oo_buffer_risk,sell,600828.SH,0.002003282541409135
20250116,mlp_oo_buffer_risk,buy,600807.SH,0.0032018255442380905
20250116,mlp_oo_buffer_risk,buy,000619.SZ,0.0031125135719776154
20250116,mlp_oo_buffer_risk,buy,300731.SZ,0.002889636904001236
20250117,mlp_oo_buffer_risk,sell,600807.SH,0.0004764394834637642
20250117,mlp_oo_buffer_risk,sell,601010.SH,0.0010451050475239754
20250117,mlp_oo_buffer_risk,sell,000619.SZ,0.0011593729723244905
20250117,mlp_oo_buffer_risk,buy,603001.SH,0.003108095843344927
20250117,mlp_oo_buffer_risk,buy,600589.SH,0.00296990224160254
20250117,mlp_oo_buffer_risk,buy,300042.SZ,0.0026215207763016224
20250120,mlp_oo_buffer_risk,sell,300731.SZ,0.0011879655066877604
20250120,mlp_oo_buffer_risk,sell,600589.SH,0.0015000816201791167
20250120,mlp_oo_buffer_risk,sell,002495.SZ,0.0019335440592840314
20250120,mlp_oo_buffer_risk,buy,603322.SH,0.0029134105425328016
20250120,mlp_oo_buffer_risk,buy,002218.SZ,0.002818227047100663
20250120,mlp_oo_buffer_risk,buy,000785.SZ,0.0027055498212575912
20250121,mlp_oo_buffer_risk,sell,603322.SH,0.0010276400716975331
20250121,mlp_oo_buffer_risk,sell,000785.SZ,0.0013677540700882673
20250121,mlp_oo_buffer_risk,sell,601086.SH,0.0014009627047926188
20250121,mlp_oo_buffer_risk,buy,600567.SH,0.0029083690606057644
