trade_date,strategy,action,ts_code,score
20250103,mlp_oo_top10_drop2,buy,300006.SZ,0.0033999213483184576
20250103,mlp_oo_top10_drop2,buy,300562.SZ,0.0033574900589883327
20250103,mlp_oo_top10_drop2,buy,002329.SZ,0.0033064456656575203
20250103,mlp_oo_top10_drop2,buy,603328.SH,0.0032989303581416607
20250103,mlp_oo_top10_drop2,buy,600764.SH,0.003289320506155491
20250103,mlp_oo_top10_drop2,buy,002210.SZ,0.0032815681770443916
20250103,mlp_oo_top10_drop2,buy,300706.SZ,0.003274615854024887
20250103,mlp_oo_top10_drop2,buy,002272.SZ,0.0032280278392136097
20250103,mlp_oo_top10_drop2,buy,600505.SH,0.0031987770926207304
20250103,mlp_oo_top10_drop2,buy,300033.SZ,0.0031971042044460773
20250106,mlp_oo_top10_drop2,sell,600764.SH,0.002137643750756979
20250106,mlp_oo_top10_drop2,sell,603328.SH,0.002660212339833379
20250106,mlp_oo_top10_drop2,buy,300488.SZ,0.0038884999230504036
20250106,mlp_oo_top10_drop2,buy,300521.SZ,0.0037797214463353157
20250107,mlp_oo_top10_drop2,sell,300706.SZ,0.0028533043805509806
20250107,mlp_oo_top10_drop2,sell,300033.SZ,0.002900177612900734
20250107,mlp_oo_top10_drop2,buy,600965.SH,0.0036607044748961926
20250107,mlp_oo_top10_drop2,buy,002861.SZ,0.003590615000575781
20250108,mlp_oo_top10_drop2,sell,300562.SZ,0.00182730529922992
20250108,mlp_oo_top10_drop2,sell,600505.SH,0.002465850207954645
20250108,mlp_oo_top10_drop2,buy,603335.SH,0.0034778877161443233
20250108,mlp_oo_top10_drop2,buy,600322.SH,0.0034303884021937847
20250109,mlp_oo_top10_drop2,sell,002329.SZ,0.0024135177955031395
20250109,mlp_oo_top10_drop2,sell,600965.SH,0.0025185078848153353
20250109,mlp_oo_top10_drop2,buy,300562.SZ,0.0034957611933350563
20250109,mlp_oo_top10_drop2,buy,300087.SZ,0.00334833562374115
20250110,mlp_oo_top10_drop2,sell,300488.SZ,0.0003843150334432721
20250110,mlp_oo_top10_drop2,sell,300087.SZ,0.0012740870006382465
20250110,mlp_oo_top10_drop2,buy,603001.SH,0.003379333298653364
20250110,mlp_oo_top10_drop2,buy,000620.SZ,0.0030094259418547153
20250113,mlp_oo_top10_drop2,sell,300562.SZ,0.002687899162992835
